EC 1.1.1.1	 alcohol dehydrogenase
EC 1.6.99.4	 now *EC 1.18.1.2
EC 1.6.99.5	 NADH dehydrogenase (quinone)
EC 1.6.99.6	 NADPH dehydrogenase (quinone)
EC 1.6.99.7	 now *EC 1.5.1.34
EC 1.6.99.8	 now *EC 1.16.1.3
EC 1.6.99.9	 now *EC 1.16.1.4
EC 1.6.99.10	 deleted, included in *EC 1.6.99.7
EC 1.6.99.11	 now *EC 1.16.1.5
EC 1.6.99.12	 now *EC 1.16.1.6
EC 1.6.99.13	 now *EC 1.16.1.7
EC 1.7.1.1	 nitrate reductase (NADH)
EC 1.7.1.2	 nitrate reductase (NAD(P)H)
EC 1.7.1.3	 nitrate reductase (NADPH)
EC 1.7.1.4	 nitrite reductase (NAD(P)H)
EC 1.7.1.5	 hyponitrite reductase
EC 1.7.1.6	 azobenzene reductase
EC 1.7.1.7	 GMP reductase
EC 1.7.1.8	 deleted entry
EC 1.7.1.9	 nitroquinoline-N-oxide reductase
EC 1.7.1.10	 hydroxylamine reductase (NADH)
EC 1.7.1.11	 4-(dimethylamino)phenylazoxybenzene reductase
EC 1.7.1.12	 N-hydroxy-2-acetamidofluorene reductase
EC 1.7.1.13	 preQ1 synthase
EC 1.7.1.14	 nitric oxide reductase (NAD(P), nitrous oxide-forming)
EC 1.7.2.1	 nitrite reductase (NO-forming)
EC 1.7.2.2	 nitrite reductase (cytochrome; ammonia-forming)
EC 1.7.2.3	 trimethylamine-N-oxide reductase (cytochrome c)
EC 1.7.2.4	 nitrous-oxide reductase
EC 1.7.2.5	 nitric oxide reductase (cytochrome c)
EC 1.7.2.6	 hydroxylamine dehydrogenase
EC 1.7.3.1	 nitroalkane oxidase
EC 1.7.3.2	 acetylindoxyl oxidase
EC 1.7.3.3	 urate oxidase
EC 1.7.3.4	 hydroxylamine oxidase
EC 1.7.3.5	 3-aci-nitropropanoate oxidase
EC 1.7.5.1	 nitrate reductase (quinone)
EC 1.7.5.2	 nitric oxide reductase (menaquinol)
EC 1.7.6.1	 nitrite dismutase
EC 1.7.7.1	 ferredoxin—nitrite reductase
EC 1.7.7.2	 ferredoxin—nitrate reductase
EC 1.7.99.1	 hydroxylamine reductase
EC 1.7.99.2	 deleted
EC 1.7.99.3	 included with *EC 1.7.2.1
EC 1.7.99.4	 nitrate reductase
EC 1.7.99.5	 deleted, now included with *EC 1.5.1.20
EC 1.7.99.6	 nitrous-oxide reductase
EC 1.7.99.7	 nitric-oxide reductase
EC 1.7.99.8	 hydroxylamine oxidoreductase
EC 1.8.1.1	 deleted
EC 1.8.1.2	 sulfite reductase (NADPH)
EC 1.8.1.3	 hypotaurine dehydrogenase
EC 1.8.1.4	 dihydrolipoyl dehydrogenase
EC 1.8.1.5	 2-oxopropyl-CoM reductase (carboxylating)
EC 1.8.1.6	 cystine reductase
EC 1.8.1.7	 glutathione-disulfide reductase
EC 1.8.1.8	 protein-disulfide reductase
EC 1.8.1.9	 thioredoxin-disulfide reductase
EC 1.8.1.10	 CoA-glutathione reductase
EC 1.8.1.11	 asparagusate reductase
EC 1.8.1.12	 trypanothione-disulfide reductase
EC 1.8.1.13	 bis-g-glutamylcystine reductase
EC 1.8.1.14	 CoA-disulfide reductase
EC 1.8.1.15	 mycothione reductase
EC 1.8.1.16	 glutathione amide reductase
EC 1.8.1.17	 dimethylsulfone reductase
EC 1.8.2.1	 sulfite dehydrogenase
EC 1.8.2.2	 thiosulfate dehydrogenase
EC 1.8.2.3	 sulfide-cytochrome-c reductase (flavocytochrome c)
EC 1.8.2.4	 dimethyl sulfide:cytochrome c2 reductase
EC 1.8.3.1	 sulfite oxidase
EC 1.8.3.2	 thiol oxidase
EC 1.8.3.3	 glutathione oxidase
EC 1.8.3.4	 methanethiol oxidase
EC 1.8.3.5	 prenylcysteine oxidase
EC 1.8.3.6	 farnesylcysteine lyase
EC 1.8.4.1	 glutathione—homocystine transhydrogenase
EC 1.8.4.2	 protein-disulfide reductase (glutathione)
EC 1.8.4.3	 glutathione—CoA-glutathione transhydrogenase
EC 1.8.4.4	 glutathione—cystine transhydrogenase
EC 1.8.4.5	 methionine-S-oxide reductase
EC 1.8.4.6	 protein-methionine-S-oxide reductase
EC 1.8.4.7	 enzyme-thiol transhydrogenase (glutathione-disulfide)
EC 1.8.4.8	 phosphoadenylyl-sulfate reductase (thioredoxin)
EC 1.8.4.9	 adenylyl-sulfate reductase (glutathione)
EC 1.8.4.10	 adenylyl-sulfate reductase (thioredoxin)
EC 1.8.4.11	 peptide-methionine (S)-S-oxide reductase
EC 1.8.4.12	 peptide-methionine (R)-S-oxide reductase
EC 1.8.4.13	 L-methionine (S)-S-oxide reductase
EC 1.8.4.14	 L-methionine (R)-S-oxide reductase
EC 1.8.5.1	 glutathione dehydrogenase (ascorbate)
EC 1.8.5.2	 thiosulfate dehydrogenase (quinone)
EC 1.8.5.3	 dimethylsulfoxide reductase
EC 1.8.5.4	 sulfide:quinone reductase
EC 1.8.6.1	 deleted, included in EC 2.5.1.18
EC 1.8.7.1	 sulfite reductase (ferredoxin)
EC 1.8.7.2	 ferredoxin:thioredoxin reductase
EC 1.8.98.1	 CoB—CoM heterodisulfide reductase
EC 1.8.98.2	 sulfiredoxin.
EC 1.8.99.1	 sulfite reductase
EC 1.8.99.2	 adenylyl-sulfate reductase
EC 1.8.99.3	 hydrogensulfite reductase
EC 1.8.99.4	 now EC 1.8.4.8
EC 1.9.3.1	 cytochrome-c oxidase
EC 1.9.3.2	 included with EC 1.7.2.1
EC 1.9.6.1	 nitrate reductase (cytochrome)
EC 1.9.99.1	 iron—cytochrome-c reductase
EC 1.10.1.1	 trans-acenaphthene-1,2-diol dehydrogenase
EC 1.10.2.1	 L-ascorbate—cytochrome-b5 reductase
EC 1.10.2.2	 ubiquinol—cytochrome-c reductase
EC 1.10.3.1	 catechol oxidase
EC 1.10.3.2	 laccase
EC 1.10.3.3	 L-ascorbate oxidase
EC 1.10.3.4	 o-aminophenol oxidase
EC 1.10.3.5	 3-hydroxyanthranilate oxidase
EC 1.10.3.6	 rifamycin-B oxidase
EC 1.10.3.7	 now EC 1.21.3.4
EC 1.10.3.8	 now EC 1.21.3.5
EC 1.10.3.9	 photosystem II
EC 1.10.3.10	 ubiquinol oxidase (H+-transporting)
EC 1.10.3.11	 ubiquinol oxidase
EC 1.10.3.12	 menaquinol oxidase (H+-transporting)
EC 1.10.9.1	 plastoquinol---plastocyanin reductase
EC 1.10.99.1	 now EC 1.10.9.1
EC 1.10.99.2	 ribosyldihydronicotinamide dehydrogenase (quinone)
EC 1.10.99.3	 violaxanthin de-epoxidase
EC 1.11.1.1	 NADH peroxidase
EC 1.11.1.2	 NADPH peroxidase
EC 1.11.1.3	 fatty-acid peroxidase
EC 1.11.1.4	 now *EC 1.13.11.11
EC 1.11.1.5	 cytochrome-c peroxidase
EC 1.11.1.6	 catalase
EC 1.11.1.7	 peroxidase
EC 1.11.1.8	 iodide peroxidase
EC 1.11.1.9	 glutathione peroxidase
EC 1.11.1.10	 chloride peroxidase
EC 1.11.1.11	 L-ascorbate peroxidase
EC 1.11.1.12	 phospholipid-hydroperoxide glutathione peroxidase
EC 1.11.1.13	 manganese peroxidase
EC 1.11.1.14	 diarylpropane peroxidase
EC 1.11.1.15	 peroxiredoxin
EC 1.11.1.16	 versatile peroxidase
EC 1.11.1.17	 glutathione amide-dependent peroxidase
EC 1.11.1.18	 bromide peroxidase
EC 1.11.1.19	 dye decolorizing peroxidase
EC 1.11.1.20	 prostamide/prostaglandin F2alpha synthase
EC 1.11.1.21	 catalase-peroxidase
EC 1.11.2.1	 unspecific peroxygenase
EC 1.11.2.2	 myeloperoxidase
EC 1.11.2.3	 plant seed peroxygenase
EC 1.11.2.4	 fatty-acid peroxygenase
EC 1.12.1.1	 now EC 1.18.99.1
EC 1.12.1.2	 hydrogen dehydrogenase
EC 1.12.1.3	 hydrogen dehydrogenase (NADP+)
EC 1.12.1.4	 hydrogenase (NAD+, ferredoxin)
EC 1.12.2.1	 cytochrome-c3 hydrogenase
EC 1.12.5.1	 hydrogen:quinone oxidoreductase
EC 1.12.7.1	 now EC 1.18.99.1
EC 1.12.7.2	 ferredoxin hydrogenase
EC 1.12.98.1	 coenzyme F420 hydrogenase
EC 1.12.98.2	 5,10-methenyltetrahydromethanopterin hydrogenase
EC 1.12.98.3	 Methanosarcina-phenazine hydrogenase
EC 1.12.98.4	 Sulfhydrogenase
EC 1.12.99.1	 now *EC 1.12.98.1
EC 1.12.99.2	 deleted, composed of *EC 1.12.98.3 and *EC 1.8.98.1
EC 1.12.99.3	 now *EC 1.12.5.1
EC 1.12.99.4	 now *EC 1.12.98.2
EC 1.12.99.5	 identical to *EC 1.13.11.47
EC 1.12.99.6	 hydrogenase (acceptor)
EC 1.13.1.1	 now *EC 1.13.11.1
EC 1.13.1.2	 now *EC 1.13.11.2
EC 1.13.1.3	 now *EC 1.13.11.3
EC 1.13.1.4	 now *EC 1.13.11.4
EC 1.13.1.5	 now *EC 1.13.11.5
EC 1.13.1.6	 now *EC 1.13.11.6
EC 1.13.1.7	 now deleted
EC 1.13.1.8	 now *EC 1.13.11.8
EC 1.13.1.9	 now *EC 1.13.11.9
EC 1.13.1.10	 now *EC 1.13.11.10
EC 1.13.1.11	 now *EC 1.13.99.1
EC 1.13.1.12	 now *EC 1.13.11.11
EC 1.13.1.13	 now *EC 1.13.11.12
EC 1.13.11.1	 catechol 1,2-dioxygenase
EC 1.13.11.2	 catechol 2,3-dioxygenase
EC 1.13.11.3	 protocatechuate 3,4-dioxygenase
EC 1.13.11.4	 gentisate 1,2-dioxygenase
EC 1.13.11.5	 homogentisate 1,2-dioxygenase
EC 1.13.11.6	 3-hydroxyanthranilate 3,4-dioxygenase
EC 1.13.11.7	 deleted
EC 1.13.11.8	 protocatechuate 4,5-dioxygenase
EC 1.13.11.9	 2,5-dihydroxypyridine 5,6-dioxygenase
EC 1.13.11.10	 7,8-dihydroxykynurenate 8,8a-dioxygenase
EC 1.13.11.11	 tryptophan 2,3-dioxygenase
EC 1.13.11.12	 lipoxygenase
EC 1.13.11.13	 ascorbate 2,3-dioxygenase
EC 1.13.11.14	 2,3-dihydroxybenzoate 3,4-dioxygenase
EC 1.13.11.15	 3,4-dihydroxyphenylacetate 2,3-dioxygenase
EC 1.13.11.16	 3-carboxyethylcatechol 2,3-dioxygenase
EC 1.13.11.17	 indole 2,3-dioxygenase
EC 1.13.11.18	 sulfur dioxygenase
EC 1.13.11.19	 cysteamine dioxygenase
EC 1.13.11.20	 cysteine dioxygenase
EC 1.13.11.21	 now *EC 1.14.99.36
EC 1.13.11.22	 caffeate 3,4-dioxygenase
EC 1.13.11.23	 2,3-dihydroxyindole 2,3-dioxygenase
EC 1.13.11.24	 quercetin 2,3-dioxygenase
EC 1.13.11.25	 3,4-dihydroxy-9,10-secoandrosta-1,3,5(10)-triene-9,17-dione 4,5-dioxygenase
EC 1.13.11.26	 peptide-tryptophan 2,3-dioxygenase
EC 1.13.11.27	 4-hydroxyphenylpyruvate dioxygenase
EC 1.13.11.28	 2,3-dihydroxybenzoate 2,3-dioxygenase
EC 1.13.11.29	 stizolobate synthase
EC 1.13.11.30	 stizolobinate synthase
EC 1.13.11.31	 arachidonate 12-lipoxygenase
EC 1.13.11.32	 2-nitropropane dioxygenase
EC 1.13.11.33	 arachidonate 15-lipoxygenase
EC 1.13.11.34	 arachidonate 5-lipoxygenase
EC 1.13.11.35	 pyrogallol 1,2-oxygenase
EC 1.13.11.36	 chloridazon-catechol dioxygenase
EC 1.13.11.37	 hydroxyquinol 1,2-dioxygenase
EC 1.13.11.38	 1-hydroxy-2-naphthoate 1,2-dioxygenase
EC 1.13.11.39	 biphenyl-2,3-diol 1,2-dioxygenase
EC 1.13.11.40	 arachidonate 8-lipoxygenase
EC 1.13.11.41	 2,4'-dihydroxyacetophenone dioxygenase
EC 1.13.11.42	 deleted
EC 1.13.11.43	 lignostilbene ab-dioxygenase
EC 1.13.11.44	 linoleate diol synthase
EC 1.13.11.45	 linoleate 11-lipoxygenase
EC 1.13.11.46	 4-hydroxymandelate synthase
EC 1.13.11.47	 3-hydroxy-4-oxoquinoline 2,4-dioxygenase
EC 1.13.11.48	 3-hydroxy-2-methyl-quinolin-4-one 2,4-dioxygenase
EC 1.13.11.49	 chlorite O2-lyase
EC 1.13.11.50	 acetylacetone-cleaving enzyme
EC 1.13.11.51	 9-cis-epoxycarotenoid dioxygenase
EC 1.13.11.52	 indoleamine 2,3-dioxygenase
EC 1.13.11.53	 Acireductone dioxygenase (Ni2+-requiring)
EC 1.13.11.54	 acireductone dioxygenase (Fe(2+)-requiring)
EC 1.13.11.55	 sulfur oxygenase/reductase
EC 1.13.11.56	 1,2-dihydroxynaphthalene dioxygenase
EC 1.13.11.57	 gallate dioxygenase
EC 1.13.11.58	 linoleate 9S-lipoxygenase
EC 1.13.11.59	 torulene dioxygenase
EC 1.13.11.60	 linoleate 8R-lipoxygenase
EC 1.13.11.61	 linolenate 9R-lipoxygenase
EC 1.13.11.62	 linoleate 10R-lipoxygenase
EC 1.13.11.63	 beta-carotene 15,15'-dioxygenase
EC 1.13.11.64	 5-nitrosalicylate dioxygenase
EC 1.13.11.65	 carotenoid isomerooxygenase
EC 1.13.11.66	 hydroquinone 1,2-dioxygenase
EC 1.13.11.67	 8'-apo-beta-carotenoid 14',13'-cleaving dioxygenase
EC 1.13.11.68	 9-cis-beta-carotene 9',10'-cleaving dioxygenase
EC 1.13.11.69	 carlactone synthase
EC 1.13.11.70	 all-trans-10'-apo-beta-carotenal 13,14-cleaving dioxygenase
EC 1.13.11.71	 carotenoid-9',10'-cleaving dioxygenase
EC 1.13.11.72	 2-hydroxyethylphosphonate dioxygenase
EC 1.13.11.73	 methylphosphonate synthase
EC 1.13.11.80	 (3,5-dihydroxyphenyl)acetyl-CoA 1,2-dioxygenase
EC 1.13.12.1	 arginine 2-monooxygenase
EC 1.13.12.2	 lysine 2-monooxygenase
EC 1.13.12.3	 tryptophan 2-monooxygenase
EC 1.13.12.4	 lactate 2-monooxygenase
EC 1.13.12.5	 Renilla-luciferin 2-monooxygenase
EC 1.13.12.6	 Cypridina-luciferin 2-monooxygenase
EC 1.13.12.7	 Photinus-luciferin 4-monooxygenase (ATP-hydrolysing)
EC 1.13.12.8	 Watasenia-luciferin 2-monooxygenase
EC 1.13.12.9	 phenylalanine 2-monooxygenase
EC 1.13.12.10	 covered by *EC 1.14.13.59
EC 1.13.12.11	 methylphenyltetrahydropyridine N-monooxygenase
EC 1.13.12.12	 apo-b-carotenoid-14',13'-dioxygenase
EC 1.13.12.13	 Oplophorus-luciferin 2-monooxygenase
EC 1.13.12.14	 chlorophyllide-a oxygenase
EC 1.13.12.15	 3,4-dihydroxyphenylalanine oxidative deaminase
EC 1.13.12.16	 nitronate monooxygenase
EC 1.13.12.17	 dichloroarcyriaflavin A synthase
EC 1.13.12.18	 dinoflagellate luciferase
EC 1.13.12.19	 2-oxoglutarate dioxygenase (ethylene-forming)
EC 1.13.99.1	 inositol oxygenase
EC 1.13.99.2	 now EC 1.14.12.10
EC 1.13.99.3	 tryptophan 2'-dioxygenase
EC 1.13.99.4	 now EC 1.14.12.9
EC 1.13.99.5	 now EC 1.13.11.47
EC 1.14.1.1	 now EC 1.14.14.1
EC 1.14.1.2	 now EC 1.14.13.9
EC 1.14.1.3	 deleted, covered by EC 1.14.99.7, EC 5.4.99.7
EC 1.14.1.4	 now EC 1.14.99.2
EC 1.14.1.5	 now EC 1.14.13.5
EC 1.14.1.6	 now EC 1.14.15.4
EC 1.14.1.7	 now EC 1.14.99.9
EC 1.14.1.8	 now EC 1.14.99.10
EC 1.14.1.9	 deleted
EC 1.14.1.10	 now EC 1.14.99.11
EC 1.14.1.11	 deleted
EC 1.14.2.1	 now EC 1.14.17.1
EC 1.14.2.2	 now EC 1.13.11.27
EC 1.14.3.1	 now EC 1.14.16.1
EC 1.14.11.1	 g-butyrobetaine dioxygenase
EC 1.14.11.2	 procollagen-proline dioxygenase
EC 1.14.11.3	 pyrimidine-deoxynucleoside 2'-dioxygenase
EC 1.14.11.4	 procollagen-lysine 5-dioxygenase
EC 1.14.11.5	 deleted, included in EC 1.14.11.6
EC 1.14.11.6	 thymine dioxygenase
EC 1.14.11.7	 procollagen-proline 3-dioxygenase
EC 1.14.11.8	 trimethyllysine dioxygenase
EC 1.14.11.9	 flavanone 3-dioxygenase
EC 1.14.11.10	 pyrimidine-deoxynucleoside 1'-dioxygenase
EC 1.14.11.11	 hyoscyamine (6S)-dioxygenase
EC 1.14.11.12	 gibberellin-44 dioxygenase
EC 1.14.11.13	 gibberellin 2b-dioxygenase
EC 1.14.11.14	 6b-hydroxyhyoscyamine epoxidase
EC 1.14.11.15	 gibberellin 3b-dioxygenase
EC 1.14.11.16	 peptide-aspartate b-dioxygenase
EC 1.14.11.17	 taurine dioxygenase
EC 1.14.11.18	 phytanoyl-CoA dioxygenase
EC 1.14.11.19	 leucocyanidin oxygenase
EC 1.14.11.20	 deacetoxyvindoline 4-hydroxylase
EC 1.14.11.21	 clavaminate synthase
EC 1.14.11.22	 flavone synthase
EC 1.14.11.23	 flavonol synthase
EC 1.14.11.24	 2'-deoxymugineic-acid 2'-dioxygenase
EC 1.14.11.25	 mugineic-acid 3-dioxygenase
EC 1.14.11.26	 deacetoxycephalosporin-C hydroxylase
EC 1.14.11.27	 (histone-H3)-lysine-36 demethylase
EC 1.14.11.28	 proline 3-hydroxylase
EC 1.14.11.29	 hypoxia-inducible factor-proline dioxygenase
EC 1.14.11.30	 hypoxia-inducible factor-asparagine dioxygenase
EC 1.14.11.31	 thebaine 6-O-demethylase
EC 1.14.11.32	 codeine 3-O-demethylase
EC 1.14.11.33	 DNA oxidative demethylase
EC 1.14.11.34	 2-oxoglutarate/L-arginine monooxygenase/decarboxylase (succinate-forming)
EC 1.14.11.35	 1-deoxypentalenic acid 11beta-hydroxylase
EC 1.14.11.36	 pentalenolactone F synthase
EC 1.14.11.64	 glutarate 2-hydroxylase
EC 1.14.12.1	 anthranilate 1,2-dioxygenase (deaminating, decarboxylating)
EC 1.14.12.2	 now EC 1.14.13.35
EC 1.14.12.3	 benzene 1,2-dioxygenase
EC 1.14.12.4	 3-hydroxy-2-methylpyridinecarboxylate dioxygenase
EC 1.14.12.5	 5-pyridoxate dioxygenase
EC 1.14.12.6	 now EC 1.14.13.66
EC 1.14.12.7	 phthalate 4,5-dioxygenase
EC 1.14.12.8	 4-sulfobenzoate 3,4-dioxygenase
EC 1.14.12.9	 4-chlorophenylacetate 3,4-dioxygenase
EC 1.14.12.10	 benzoate 1,2-dioxygenase
EC 1.14.12.11	 toluene dioxygenase
EC 1.14.12.12	 naphthalene 1,2-dioxygenase
EC 1.14.12.13	 2-chlorobenzoate 1,2-dioxygenase
EC 1.14.12.14	 2-aminobenzenesulfonate 2,3-dioxygenase
EC 1.14.12.15	 terephthalate 1,2-dioxygenase
EC 1.14.12.16	 2-hydroxyquinoline 5,6-dioxygenase
EC 1.14.12.17	 nitric oxide dioxygenase
EC 1.14.12.18	 biphenyl 2,3-dioxygenase
EC 1.14.12.19	 3-phenylpropionate dioxygenase
EC 1.14.12.20	 pheophorbide a oxygenase
EC 1.14.12.21	 benzoyl-CoA 2,3-dioxygenase
EC 1.14.12.22	 carbazole 1,9a-dioxygenase
EC 1.14.13.1	 salicylate 1-monooxygenase
EC 1.14.13.2	 4-hydroxybenzoate 3-monooxygenase
EC 1.14.13.3	 4-hydroxyphenylacetate 3-monooxygenase
EC 1.14.13.4	 melilotate 3-monooxygenase
EC 1.14.13.5	 imidazoleacetate 4-monooxygenase
EC 1.14.13.6	 orcinol 2-monooxygenase
EC 1.14.13.7	 phenol 2-monooxygenase
EC 1.14.13.8	 dimethylaniline monooxygenase (N-oxide-forming)
EC 1.14.13.9	 kynurenine 3-monooxygenase
EC 1.14.13.10	 2,6-dihydroxypyridine 3-monooxygenase
EC 1.14.13.11	 trans-cinnamate 4-monooxygenase
EC 1.14.13.12	 benzoate 4-monooxygenase
EC 1.14.13.13	 calcidiol 1-monooxygenase
EC 1.14.13.14	 trans-cinnamate 2-monooxygenase
EC 1.14.13.15	 cholestanetriol 26-monooxygenase
EC 1.14.13.16	 cyclopentanone monooxygenase
EC 1.14.13.17	 cholesterol 7a-monooxygenase
EC 1.14.13.18	 4-hydroxyphenylacetate 1-monooxygenase
EC 1.14.13.19	 taxifolin 8-monooxygenase
EC 1.14.13.20	 2,4-dichlorophenol 6-monooxygenase
EC 1.14.13.21	 flavonoid 3'-monooxygenase
EC 1.14.13.22	 cyclohexanone monooxygenase
EC 1.14.13.23	 3-hydroxybenzoate 4-monooxygenase
EC 1.14.13.24	 3-hydroxybenzoate 6-monooxygenase
EC 1.14.13.25	 methane monooxygenase
EC 1.14.13.26	 phosphatidylcholine 12-monooxygenase
EC 1.14.13.27	 4-aminobenzoate 1-monooxygenase
EC 1.14.13.28	 3,9-dihydroxypterocarpan 6a-monooxygenase
EC 1.14.13.29	 4-nitrophenol 2-monooxygenase
EC 1.14.13.30	 leukotriene-B4 20-monooxygenase
EC 1.14.13.31	 2-nitrophenol 2-monooxygenase
EC 1.14.13.32	 albendazole monooxygenase
EC 1.14.13.33	 4-hydroxybenzoate 3-monooxygenase (NAD(P)H)
EC 1.14.13.34	 leukotriene-E4 20-monooxygenase
EC 1.14.13.35	 anthranilate 3-monooxygenase (deaminating)
EC 1.14.13.36	 5-O-(4-coumaroyl)-D-quinate 3'-monooxygenase
EC 1.14.13.37	 methyltetrahydroprotoberberine 14-monooxygenase
EC 1.14.13.38	 anhydrotetracycline monooxygenase
EC 1.14.13.39	 nitric-oxide synthase
EC 1.14.13.40	 anthraniloyl-CoA monooxygenase
EC 1.14.13.41	 tyrosine N-monooxygenase
EC 1.14.13.42	 hydroxyphenylacetonitrile 2-monooxygenase
EC 1.14.13.43	 questin monooxygenase
EC 1.14.13.44	 2-hydroxybiphenyl 3-monooxygenase
EC 1.14.13.45	 now EC 1.14.18.2
EC 1.14.13.46	 (-)-menthol monooxygenase
EC 1.14.13.47	 (S)-limonene 3-monooxygenase
EC 1.14.13.48	 (S)-limonene 6-monooxygenase
EC 1.14.13.49	 (S)-limonene 7-monooxygenase
EC 1.14.13.50	 pentachlorophenol monooxygenase
EC 1.14.13.51	 6-oxocineole dehydrogenase
EC 1.14.13.52	 isoflavone 3'-hydroxylase
EC 1.14.13.53	 4'-methoxyisoflavone 2'-hydroxylase
EC 1.14.13.54	 ketosteroid monooxygenase
EC 1.14.13.55	 protopine 6-monooxygenase
EC 1.14.13.56	 dihydrosanguinarine 10-monooxygenase
EC 1.14.13.57	 dihydrochelirubine 12-monooxygenase
EC 1.14.13.58	 benzoyl-CoA 3-monooxygenase
EC 1.14.13.59	 L-lysine 6-monooxygenase (NADPH)
EC 1.14.13.60	 27-hydroxycholesterol 7a-monooxygenase
EC 1.14.13.61	 2-hydroxyquinoline 8-monooxygenase
EC 1.14.13.62	 4-hydroxyquinoline 3-monooxygenase
EC 1.14.13.63	 3-hydroxyphenylacetate 6-hydroxylase
EC 1.14.13.64	 4-hydroxybenzoate 1-hydroxylase
EC 1.14.13.65	 deleted
EC 1.14.13.66	 2-hydroxycyclohexanone 2-monooxygenase
EC 1.14.13.67	 quinine 3-monooxygenase
EC 1.14.13.68	 4-hydroxyphenylacetaldehyde oxime monooxygenase
EC 1.14.13.69	 alkene monooxygenase
EC 1.14.13.70	 sterol 14-demethylase
EC 1.14.13.71	 N-methylcoclaurine 3'-monooxygenase
EC 1.14.13.72	 methylsterol monooxygenase
EC 1.14.13.73	 tabersonine 16-hydroxylase
EC 1.14.13.74	 7-deoxyloganin 7-hydroxylase
EC 1.14.13.75	 vinorine hydroxylase
EC 1.14.13.76	 taxane 10b-hydroxylase
EC 1.14.13.77	 taxane 13a-hydroxylase
EC 1.14.13.78	 ent-kaurene oxidase
EC 1.14.13.79	 ent-kaurenoic acid oxidase
EC 1.14.13.80	 (R)-limonene 6-monooxygenase
EC 1.14.13.81	 magnesium-protoporphyrin IX monomethyl ester (oxidative) cyclase
EC 1.14.13.82	 vanillate monooxygenase
EC 1.14.13.83	 precorrin-3B synthase
EC 1.14.13.84	 4-hydroxyacetophenone monooxygenase
EC 1.14.13.85	 glyceollin synthase
EC 1.14.13.86	 2-hydroxyisoflavanone synthase
EC 1.14.13.87	 licodione synthase
EC 1.14.13.88	 flavonoid 3',5'-hydroxylase
EC 1.14.13.89	 isoflavone 2'-hydroxylase
EC 1.14.13.90	 zeaxanthin epoxidase
EC 1.14.13.91	 deoxysarpagine hydroxylase
EC 1.14.13.92	 phenylacetone monooxygenase
EC 1.14.13.93	 (+)-abscisic acid 8'-hydroxylase
EC 1.14.13.94	 Lithocholate 6beta-hydroxylase
EC 1.14.13.95	 7alpha-hydroxycholest-4-en-3-one 12alpha-hydroxylase
EC 1.14.13.96	 5beta-cholestane-3alpha,7alpha-diol 12alpha-hydroxylase
EC 1.14.13.97	 taurochenodeoxycholate 6α-hydroxylase
EC 1.14.13.98	 cholesterol 24-hydroxylase
EC 1.14.13.99	 24-hydroxycholesterol 7α-hydroxylase
EC 1.14.13.100	 25-hydroxycholesterol 7α-hydroxylase
EC 1.14.13.101	 senecionine N-oxygenase
EC 1.14.13.102	 psoralen synthase
EC 1.14.13.103	 8-dimethylallylnaringenin 2'-hydroxylase
EC 1.14.13.104	 (+)-menthofuran synthase
EC 1.14.13.105	 monocyclic monoterpene ketone monooxygenase
EC 1.14.13.106	 epi-isozizaene 5-monooxygenase
EC 1.14.13.107	 limonene 1,2-monooxygenase
EC 1.14.13.108	 abietadiene hydroxylase
EC 1.14.13.109	 abietadienol hydroxylase
EC 1.14.13.110	 geranylgeraniol 18-hydroxylase
EC 1.14.13.111	 methanesulfonate monooxygenase
EC 1.14.13.112	 3-epi-6-deoxocathasterone 23-monooxygenase
EC 1.14.13.113	 FAD-dependent urate hydroxylase
EC 1.14.13.114	 6-hydroxynicotinate 3-monooxygenase
EC 1.14.13.115	 angelicin synthase
EC 1.14.13.116	 geranylhydroquinone 3-hydroxylase
EC 1.14.13.117	 isoleucine N-monooxygenase
EC 1.14.13.118	 valine N-monooxygenase
EC 1.14.13.119	 5-epiaristolochene 1,3-dihydroxylase
EC 1.14.13.120	 costunolide synthase
EC 1.14.13.121	 premnaspirodiene oxygenase
EC 1.14.13.122	 chlorophyllide-a oxygenase
EC 1.14.13.123	 germacrene A hydroxylase
EC 1.14.13.124	 phenylalanine N-monooxygenase
EC 1.14.13.125	 tryptophan N-monooxygenase
EC 1.14.13.126	 vitamin D3 24-hydroxylase
EC 1.14.13.127	 3-(3-hydroxyphenyl)propanoate hydroxylase
EC 1.14.13.128	 7-methylxanthine demethylase
EC 1.14.13.129	 beta-carotene 3-hydroxylase
EC 1.14.13.130	 pyrrole-2-carboxylate monooxygenase
EC 1.14.13.131	 dimethyl-sulfide monooxygenase
EC 1.14.13.132	 squalene monooxygenase
EC 1.14.13.133	 pentalenene oxygenase
EC 1.14.13.134	 beta-amyrin 11-oxidase
EC 1.14.13.135	 1-hydroxy-2-naphthoate hydroxylase
EC 1.14.13.136	 isoflavonoid synthase
EC 1.14.13.137	 indole-2-monooxygenase
EC 1.14.13.138	 indolin-2-one monooxygenase
EC 1.14.13.139	 3-hydroxyindolin-2-one monooxygenase
EC 1.14.13.140	 2-hydroxy-1,4-benzoxazin-3-one monooxygenase
EC 1.14.13.141	 cholest-4-en-3-one 26-monooxygenase
EC 1.14.13.142	 3-ketosteroid 9alpha-monooxygenase
EC 1.14.13.143	 ent-isokaurene C2-hydroxylase
EC 1.14.13.144	 9beta-pimara-7,15-diene oxidase
