EC 2.1.1.1	 nicotinamide N-methyltransferase
EC 2.4.1.260	 dolichyl-P-Man:Man7GlcNAc2-PP-dolichol alpha-1,6-mannosyltransferase
EC 2.4.1.261	 dolichyl-P-Man:Man8GlcNAc2-PP-dolichol alpha-1,2-mannosyltransferase
EC 2.4.1.262	 soyasapogenol glucuronosyltransferase
EC 2.4.1.263	 abscisate beta-glucosyltransferase
EC 2.4.1.264	 D-Man-alpha-(1->3)-D-Glc-beta-(1->4)-D-Glc-alpha-1-diphosphoundecaprenol 2-beta-glucuronyltransferase
EC 2.4.1.265	 dolichyl-P-Glc:Glc1Man9GlcNAc2-PP-dolichol alpha-1,3-glucosyltransferase
EC 2.4.1.266	 glucosyl-3-phosphoglycerate synthase
EC 2.4.1.267	 dolichyl-P-Glc:Man9GlcNAc2-PP-dolichol alpha-1,3-glucosyltransferase
EC 2.4.1.268	 glucosylglycerate synthase
EC 2.4.1.269	 mannosylglycerate synthase
EC 2.4.1.270	 mannosylglucosyl-3-phosphoglycerate synthase
EC 2.4.1.271	 crocetin glucosyltransferase
EC 2.4.1.272	 soyasapogenol B glucuronide galactosyltransferase
EC 2.4.1.273	 soyasaponin III rhamnosyltransferase
EC 2.4.1.274	 glucosylceramide beta-1,4-galactosyltransferase
EC 2.4.1.275	 lactotriaosylceramide beta-1,4-galactosyltransferase
EC 2.4.1.276	 zeaxanthin glucosyltransferase
EC 2.4.1.277	 glycosyltransferase DesVII
EC 2.4.1.278	 desosaminyl transferase EryCIII
EC 2.4.1.279	 nigerose phosphorylase
EC 2.4.1.280	 N,N'-diacetylchitobiose phosphorylase
EC 2.4.1.281	 4-O-beta-D-mannosyl-D-glucose phosphorylase
EC 2.4.1.282	 3-O-alpha-D-glucosyl-L-rhamnose phosphorylase
EC 2.4.1.283	 2-deoxystreptamine N-acetyl-D-glucosaminyltransferase
EC 2.4.1.284	 2-deoxystreptamine glucosyltransferase
EC 2.4.1.285	 UDP-GlcNAc:ribostamycin N-acetylglucosaminyltransferase
EC 2.4.1.286	 chalcone 4'-O-glucosyltransferase
EC 2.4.1.287	 rhamnopyranosyl-N-acetylglucosaminyl-diphospho-decaprenol beta-1,3/1,4-galactofuranosyltransferase
EC 2.4.1.288	 galactofuranosylgalactofuranosylrhamnosyl-N-acetylglucosaminyl-diphospho-decaprenol beta-1,5/1,6-galactofuranosyltransferase
EC 2.4.1.289	 N-acetylglucosaminyl-diphospho-decaprenol L-rhamnosyltransferase
EC 2.4.1.290	 N,N'-diacetylbacillosaminyl-diphospho-undecaprenol alpha-1,3-N-acetylgalactosaminyltransferase
EC 2.4.1.291	 N-acetylgalactosamine-N,N'-diacetylbacillosaminyl-diphospho-undecaprenol 4-alpha-N-acetylgalactosaminyltransferase
EC 2.4.1.292	 GalNAc-alpha-(1->4)-GalNAc-alpha-(1->3)-diNAcBac-PP-undecaprenol alpha-1,4-N-acetyl-D-galactosaminyltransferase
EC 2.4.1.293	 GalNAc5-diNAcBac-PP-undecaprenol beta-1,3-glucosyltransferase
EC 2.4.2.1	 purine-nucleoside phosphorylase
EC 2.4.2.2	 pyrimidine-nucleoside phosphorylase
EC 2.4.2.3	 uridine phosphorylase
EC 2.4.2.4	 thymidine phosphorylase
EC 2.4.2.5	 nucleoside ribosyltransferase
EC 2.4.2.6	 nucleoside deoxyribosyltransferase
EC 2.4.2.7	 adenine phosphoribosyltransferase
EC 2.4.2.8	 hypoxanthine phosphoribosyltransferase
EC 2.4.2.9	 uracil phosphoribosyltransferase
EC 2.4.2.10	 orotate phosphoribosyltransferase
EC 2.4.2.11	 now EC 6.3.4.21
EC 2.4.2.12	 nicotinamide phosphoribosyltransferase
EC 2.4.2.13	 now EC 2.5.1.6
EC 2.4.2.14	 amidophosphoribosyltransferase
EC 2.4.2.15	 guanosine phosphorylase
EC 2.4.2.16	 urate-ribonucleotide phosphorylase
EC 2.4.2.17	 ATP phosphoribosyltransferase
EC 2.4.2.18	 anthranilate phosphoribosyltransferase
EC 2.4.2.19	 nicotinate-nucleotide diphosphorylase (carboxylating)
EC 2.4.2.20	 dioxotetrahydropyrimidine phosphoribosyltransferase
EC 2.4.2.21	 nicotinate-nucleotide—dimethylbenzimidazole phosphoribosyltransferase
EC 2.4.2.22	 xanthine phosphoribosyltransferase
EC 2.4.2.23	 deoxyuridine phosphorylase
EC 2.4.2.24	 1,4-b-D-xylan synthase
EC 2.4.2.25	 flavone apiosyltransferase
EC 2.4.2.26	 protein xylosyltransferase
EC 2.4.2.27	 dTDP-dihydrostreptose—streptidine-6-phosphate dihydrostreptosyltransferase
EC 2.4.2.28	 S-methyl-5'-thioadenosine phosphorylase
EC 2.4.2.29	 queuine tRNA-ribosyltransferase
EC 2.4.2.30	 NAD+ ADP-ribosyltransferase
EC 2.4.2.31	 NAD(P)+—protein-arginine ADP-ribosyltransferase
EC 2.4.2.32	 dolichyl-phosphate D-xylosyltransferase
EC 2.4.2.33	 dolichyl-xylosyl-phosphate—protein xylosyltransferase
EC 2.4.2.34	 indolylacetylinositol arabinosyltransferase
EC 2.4.2.35	 flavonol-3-O-glycoside xylosyltransferase
EC 2.4.2.36	 NAD+—diphthamide ADP-ribosyltransferase
EC 2.4.2.37	 NAD+—dinitrogen-reductase ADP-D-ribosyltransferase
EC 2.4.2.38	 glycoprotein 2-b-D-xylosyltransferase
EC 2.4.2.39	 xyloglucan 6-xylosyltransferase
EC 2.4.2.40	 zeatin O-b-D-xylosyltransferase
EC 2.4.2.41	 xylogalacturonan beta-1,3-xylosyltransferase
EC 2.4.2.42	 UDP-D-xylose:beta-D-glucoside alpha-1,3-D-xylosyltransferase
EC 2.4.2.43	 lipid IVA 4-amino-4-deoxy-L-arabinosyltransferase
EC 2.4.2.44	 S-methyl-5'-thioinosine phosphorylase
EC 2.4.2.45	 decaprenyl-phosphate phosphoribosyltransferase
EC 2.4.2.46	 galactan 5-O-arabinofuranosyltransferase
EC 2.4.2.47	 arabinofuranan 3-O-arabinosyltransferase
EC 2.4.2.48	 tRNA-guanine15 transglycosylase
EC 2.4.99.1	 b-galactoside a-2,6-sialyltransferase
EC 2.4.99.2	 monosialoganglioside sialyltransferase
EC 2.4.99.3	 a-N-acetylgalactosaminide a-2,6-sialyltransferase
EC 2.4.99.4	 b-galactoside a-2,3-sialyltransferase
EC 2.4.99.5	 galactosyldiacylglycerol a-2,3-sialyltransferase
EC 2.4.99.6	 N-acetyllactosaminide a-2,3-sialyltransferase
EC 2.4.99.7	 (a-N-acetylneuraminyl-2,3-b-galactosyl-1,3)-N-acetyl-galactosaminide 6-a-sialyltransferase
EC 2.4.99.8	 a-N-acetylneuraminate a-2,8-sialyltransferase
EC 2.4.99.9	 lactosylceramide a-2,3-sialyltransferase
EC 2.4.99.10	 neolactotetraosylceramide a-2,3-sialyltransferase
EC 2.4.99.11	 lactosylceramide a-2,6-N-sialyltransferase
EC 2.4.99.12	 lipid IVA 3-deoxy-D-manno-octulosonic acid transferase
EC 2.4.99.13	 (KDO)-lipid IVA 3-deoxy-D-manno-octulosonic acid transferase
EC 2.4.99.14	 (KDO)2-lipid IVA (2-8) 3-deoxy-D-manno-octulosonic acid transferase
EC 2.4.99.15	 (KDO)3-lipid IVA (2-4) 3-deoxy-D-manno-octulosonic acid transferase
EC 2.4.99.16	 starch synthase (maltosyl-transferring)
EC 2.4.99.17	 S-adenozilmetionin:tRNA ribosyltransferase-isomerase
EC 2.4.99.18	 dolichyl-diphosphooligosaccharide---protein glycotransferase
EC 2.4.99.19	 undecaprenyl-diphosphooligosaccharide---protein glycotransferase
EC 2.5.1.1	 dimethylallyltranstransferase
EC 2.5.1.2	 thiamine pyridinylase
EC 2.5.1.3	 thiamine-phosphate diphosphorylase
EC 2.5.1.4	 adenosylmethionine cyclotransferase
EC 2.5.1.5	 galactose-6-sulfurylase
EC 2.5.1.6	 methionine adenosyltransferase
EC 2.5.1.7	 UDP-N-acetylglucosamine 1-carboxyvinyltransferase
EC 2.5.1.8	 tRNA isopentenyltransferase
EC 2.5.1.9	 riboflavin synthase
EC 2.5.1.10	 geranyltranstransferase
EC 2.5.1.11	 trans-octaprenyltranstransferase
EC 2.5.1.12	 deleted, included in EC 2.5.1.18
EC 2.5.1.13	 deleted, included in EC 2.5.1.18
EC 2.5.1.14	 deleted, included in EC 2.5.1.18
EC 2.5.1.15	 dihydropteroate synthase
EC 2.5.1.16	 spermidine synthase
EC 2.5.1.17	 cob(I)yrinic acid a,c-diamide adenosyltransferase
EC 2.5.1.18	 glutathione transferase
EC 2.5.1.19	 3-phosphoshikimate 1-carboxyvinyltransferase
EC 2.5.1.20	 rubber cis-polyprenylcistransferase
EC 2.5.1.21	 squalene synthase
EC 2.5.1.22	 spermine synthase
EC 2.5.1.23	 sym-norspermidine synthase
EC 2.5.1.24	 discadenine synthase
EC 2.5.1.25	 tRNA-uridine aminocarboxypropyltransferase
EC 2.5.1.26	 alkylglycerone-phosphate synthase
EC 2.5.1.27	 adenylate dimethylallyltransferase
EC 2.5.1.28	 dimethylallylcistransferase
EC 2.5.1.29	 farnesyltranstransferase
EC 2.5.1.30	 trans-hexaprenyltranstransferase
EC 2.5.1.31	 di-trans,poly-cis-decaprenylcistransferase
EC 2.5.1.32	 phytoene synthase
EC 2.5.1.33	 deleted, transferred to EC 2.5.1.82 and EC 2.5.1.83
EC 2.5.1.34	 tryptophan dimethylallyltransferase
EC 2.5.1.35	 aspulvinone dimethylallyltransferase
EC 2.5.1.36	 trihydroxypterocarpan dimethylallyltransferase
EC 2.5.1.37	 now EC 4.4.1.20
EC 2.5.1.38	 isonocardicin synthase
EC 2.5.1.39	 4-hydroxybenzoate polyprenyltransferase
EC 2.5.1.40	 now EC 4.2.3.9
EC 2.5.1.41	 phosphoglycerol geranylgeranyltransferase
EC 2.5.1.42	 geranylgeranylglycerol-phosphate geranylgeranyltransferase
EC 2.5.1.43	 nicotianamine synthase
EC 2.5.1.44	 homospermidine synthase
EC 2.5.1.45	 homospermidine synthase (spermidine-specific)
EC 2.5.1.46	 deoxyhypusine synthase
EC 2.5.1.47	 cysteine synthase
EC 2.5.1.48	 cystathionine g-synthase
EC 2.5.1.49	 O-acetylhomoserine aminocarboxypropyltransferase
EC 2.5.1.50	 zeatin 9-aminocarboxyethyltransferase
EC 2.5.1.51	 b-pyrazolylalanine synthase
EC 2.5.1.52	 L-mimosine synthase
EC 2.5.1.53	 uracilylalanine synthase
EC 2.5.1.54	 3-deoxy-7-phosphoheptulonate synthase
EC 2.5.1.55	 3-deoxy-8-phosphooctulonate synthase
EC 2.5.1.56	 N-acetylneuraminate synthase
EC 2.5.1.57	 N-acylneuraminate-9-phosphate synthase
EC 2.5.1.58	 protein farnesyltransferase
EC 2.5.1.59	 protein geranylgeranyltransferase type I
EC 2.5.1.60	 protein geranylgeranyltransferase type II
EC 2.5.1.61	 hydroxymethylbilane synthase
EC 2.5.1.62	 chlorophyll synthase
EC 2.5.1.63	 adenosyl-fluoride synthase
EC 2.5.1.64	 now EC 2.5.1.64
EC 2.5.1.65	 O-phosphoserine sulfhydrylase
EC 2.5.1.66	 N2-(2-carboxyethyl)arginine synthase
EC 2.5.1.67	 chrysanthemyl diphosphate synthase
EC 2.5.1.68	 (2Z,6E)-farnesyl diphosphate synthase
EC 2.5.1.69	 lavandulyl diphosphate synthase
EC 2.5.1.70	 naringenin 8-dimethylallyltransferase
EC 2.5.1.71	 leachianone-G 2-dimethylallyltransferase
EC 2.5.1.72	 quinolinate synthase
EC 2.5.1.73	 O-phospho-L-seryl-tRNA:Cys-tRNA synthase
EC 2.5.1.74	 1,4-dihydroxy-2-naphthoate polyprenyltransferase
EC 2.5.1.75	 tRNA dimethylallyltransferase
EC 2.5.1.76	 cysteate synthase
EC 2.5.1.77	 7,8-didemethyl-8-hydroxy-5-deazariboflavin synthase
EC 2.5.1.78	 6,7-dimethyl-8-ribityllumazine synthase
EC 2.5.1.79	 thermospermine synthase
EC 2.5.1.80	 7-dimethylallyltryptophan synthase
EC 2.5.1.81	 geranylfarnesyl diphosphate synthase
EC 2.5.1.82	 hexaprenyl diphosphate synthase (geranylgeranyl-diphosphate specific)
EC 2.5.1.83	 hexaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)
EC 2.5.1.84	 all-trans-nonaprenyl-diphosphate synthase (geranyl-diphosphate specific)
EC 2.5.1.85	 all-trans-nonaprenyl diphosphate synthase (geranylgeranyl-diphosphate specific)
EC 2.5.1.86	 trans,polycis-decaprenyl diphosphate synthase
EC 2.5.1.87	 ditrans,polycis-polyprenyl diphosphate synthase ((2E,6E)-farnesyl diphosphate specific)
EC 2.5.1.88	 trans,polycis-polyprenyl diphosphate synthase ((2Z,6E)-farnesyl diphosphate specific)
EC 2.5.1.89	 tritrans,polycis-undecaprenyl-diphosphate synthase (geranylgeranyl-diphosphate specific)
EC 2.5.1.90	 all-trans-octaprenyl-diphosphate synthase
EC 2.5.1.91	 all-trans-decaprenyl-diphosphate synthase
EC 2.5.1.92	 (2Z,6Z)-farnesyl diphosphate synthase
EC 2.5.1.93	 4-hydroxybenzoate geranyltransferase
EC 2.5.1.94	 adenozil-chloride synthase
EC 2.5.1.95	 xanthan ketal pyruvate transferase
EC 2.5.1.96	 4,4'-diapophytoene synthase
EC 2.5.1.97	 pseudaminic acid synthase
EC 2.5.1.98	 Rhizobium leguminosarum exopolysaccharide glucosyl ketal-pyruvate-transferase
EC 2.5.1.99	 all-trans-phytoene synthase
EC 2.5.1.100	 fumigaclavine A dimethylallyltransferase
EC 2.5.1.101	 N,N'-diacetyllegionaminate synthase
EC 2.5.1.102	 geranyl-pyrophosphate---olivetolic acid geranyltransferase
EC 2.5.1.103	 presqualene diphosphate synthase
EC 2.5.1.129	 flavin prenyltransferase
EC 2.6.1.1	 aspartate transaminase
EC 2.6.1.2	 alanine transaminase
EC 2.6.1.3	 cysteine transaminase
EC 2.6.1.4	 glycine transaminase
EC 2.6.1.5	 tyrosine transaminase
EC 2.6.1.6	 leucine transaminase
EC 2.6.1.7	 kynurenine—oxoglutarate transaminase
EC 2.6.1.8	 2,5-diaminovalerate transaminase
EC 2.6.1.9	 histidinol-phosphate transaminase
EC 2.6.1.10	 deleted, included in EC 2.6.1.21
EC 2.6.1.11	 acetylornithine transaminase
EC 2.6.1.12	 alanine—oxo-acid transaminase
EC 2.6.1.13	 ornithine aminotransferase
EC 2.6.1.14	 asparagine—oxo-acid transaminase
EC 2.6.1.15	 glutamine—pyruvate transaminase
EC 2.6.1.16	 glutamine—fructose-6-phosphate transaminase (isomerizing)
EC 2.6.1.17	 succinyldiaminopimelate transaminase
EC 2.6.1.18	 b-alanine—pyruvate transaminase
EC 2.6.1.19	 4-aminobutyrate transaminase
EC 2.6.1.20	 deleted
EC 2.6.1.21	 D-amino acid transaminase
EC 2.6.1.22	 (S)-3-amino-2-methylpropionate transaminase
EC 2.6.1.23	 4-hydroxyglutamate transaminase
EC 2.6.1.24	 diiodotyrosine transaminase
EC 2.6.1.25	 deleted, included in EC 2.6.1.24
EC 2.6.1.26	 thyroid-hormone transaminase
EC 2.6.1.27	 tryptophan transaminase
EC 2.6.1.28	 tryptophan—phenylpyruvate transaminase
EC 2.6.1.29	 diamine transaminase
EC 2.6.1.30	 pyridoxamine—pyruvate transaminase
EC 2.6.1.31	 pyridoxamine—oxaloacetate transaminase
EC 2.6.1.32	 valine—3-methyl-2-oxovalerate transaminase
EC 2.6.1.33	 dTDP-4-amino-4,6-dideoxy-D-glucose transaminase
EC 2.6.1.34	 UDP-2-acetamido-4-amino-2,4,6-trideoxyglucose transaminase
EC 2.6.1.35	 glycine—oxaloacetate transaminase
EC 2.6.1.36	 L-lysine 6-transaminase
EC 2.6.1.37	 (2-aminoethyl)phosphonate—pyruvate transaminase
EC 2.6.1.38	 histidine transaminase
EC 2.6.1.39	 2-aminoadipate transaminase
EC 2.6.1.40	 (R)-3-amino-2-methylpropionate-pyruvate transaminase
EC 2.6.1.41	 D-methionine—pyruvate transaminase
EC 2.6.1.42	 branched-chain-amino-acid transaminase
EC 2.6.1.43	 aminolevulinate transaminase
EC 2.6.1.44	 alanine—glyoxylate transaminase
EC 2.6.1.45	 serine—glyoxylate transaminase
EC 2.6.1.46	 diaminobutyrate—pyruvate transaminase
EC 2.6.1.47	 alanine—oxomalonate transaminase
EC 2.6.1.48	 5-aminovalerate transaminase
EC 2.6.1.49	 dihydroxyphenylalanine transaminase
EC 2.6.1.50	 glutamine—scyllo-inositol transaminase
EC 2.6.1.51	 serine—pyruvate transaminase
EC 2.6.1.52	 phosphoserine transaminase
EC 2.6.1.53	 now EC 1.4.1.13
EC 2.6.1.54	 pyridoxamine-phosphate transaminase
EC 2.6.1.55	 taurine—2-oxoglutarate transaminase
EC 2.6.1.56	 1D-1-guanidino-3-amino-1,3-dideoxy-scyllo-inositol transaminase
EC 2.6.1.57	 aromatic-amino-acid transaminase
EC 2.6.1.58	 phenylalanine(histidine) transaminase
EC 2.6.1.59	 dTDP-4-amino-4,6-dideoxygalactose transaminase
EC 2.6.1.60	 aromatic-amino-acid—glyoxylate transaminase
EC 2.6.1.61	 identical to EC 2.6.1.40
EC 2.6.1.62	 adenosylmethionine—8-amino-7-oxononanoate transaminase
EC 2.6.1.63	 kynurenine—glyoxylate transaminase
EC 2.6.1.64	 glutamine—phenylpyruvate transaminase
EC 2.6.1.65	 N6-acetyl-b-lysine transaminase
EC 2.6.1.66	 valine—pyruvate transaminase
EC 2.6.1.67	 2-aminohexanoate transaminase
EC 2.6.1.68	 ornithine(lysine) transaminase
EC 2.6.1.69	 now EC 2.6.1.11
EC 2.6.1.70	 aspartate—phenylpyruvate transaminase
EC 2.6.1.71	 lysine—pyruvate 6-transaminase
EC 2.6.1.72	 D-4-hydroxyphenylglycine transaminase
EC 2.6.1.73	 methionine—glyoxylate transaminase
EC 2.6.1.74	 cephalosporin-C transaminase
EC 2.6.1.75	 cysteine-conjugate transaminase
EC 2.6.1.76	 diaminobutyrate—2-oxoglutarate transaminase
EC 2.6.1.77	 taurine—pyruvate aminotransferase
EC 2.6.1.78	 aspartate—prephenate aminotransferase
EC 2.6.1.79	 glutamate—prephenate aminotransferase
EC 2.6.1.80	 nicotianamine aminotransferase
EC 2.6.1.81	 succinylornithine transaminase
EC 2.6.1.82	 putrescine aminotransferase
EC 2.6.1.83	 LL-diaminopimelate aminotransferase
EC 2.6.1.84	 arginine---pyruvate transaminase
EC 2.6.1.85	 aminodeoxychorismate synthase
EC 2.6.1.86	 2-amino-4-deoxychorismate synthase
EC 2.6.1.87	 UDP-4-amino-4-deoxy-L-arabinose aminotransferase
EC 2.6.1.88	 metionin transaminase
EC 2.6.1.89	 dTDP-3-amino-3,6-dideoxy-alpha-D-glucopyranose transaminase
EC 2.6.1.90	 dTDP-3-amino-3,6-dideoxy-alpha-D-galactopyranose transaminase
EC 2.6.1.91	 UDP-4-amino-4,6-dideoxy-N-acetyl-alpha-D-glucosamine transaminase
EC 2.6.1.92	 UDP-4-amino-4,6-dideoxy-N-acetyl-beta-L-altrosamine transaminase
EC 2.6.1.93	 neamine transaminase
EC 2.6.1.94	 2'-deamino-2'-hydroxyneamine transaminase
EC 2.6.1.95	 neomycin C transaminase
EC 2.6.1.96	 4-aminobutyrate---pyruvate transaminase
EC 2.6.1.97	 archaeosine synthase
EC 2.6.1.98	 UDP-2-acetamido-2-deoxy-ribo-hexuluronate aminotransferase
EC 2.6.1.99	 L-tryptophan---pyruvate aminotransferase
EC 2.6.2.1	 now EC 2.1.4.1
EC 2.6.3.1	 oximinotransferase
EC 2.6.99.1	 dATP(dGTP)—DNA purinetransferase
EC 2.6.99.2	 pyridoxine 5'-phosphate synthase
EC 2.7.1.1	 hexokinase
EC 2.7.1.2	 glucokinase
EC 2.7.1.3	 ketohexokinase
EC 2.7.1.4	 fructokinase
EC 2.7.1.5	 rhamnulokinase
EC 2.7.1.6	 galactokinase
EC 2.7.1.7	 mannokinase
EC 2.7.1.8	 glucosamine kinase
EC 2.7.1.9	 deleted
EC 2.7.1.10	 phosphoglucokinase
EC 2.7.1.11	 6-phosphofructokinase
EC 2.7.1.12	 gluconokinase
EC 2.7.1.13	 dehydrogluconokinase
EC 2.7.1.14	 sedoheptulokinase
EC 2.7.1.15	 ribokinase
EC 2.7.1.16	 ribulokinase
EC 2.7.1.17	 xylulokinase
EC 2.7.1.18	 phosphoribokinase
EC 2.7.1.19	 phosphoribulokinase
EC 2.7.1.20	 adenosine kinase
EC 2.7.1.21	 thymidine kinase
EC 2.7.1.22	 ribosylnicotinamide kinase
EC 2.7.1.23	 NAD+ kinase
EC 2.7.1.24	 dephospho-CoA kinase
EC 2.7.1.25	 adenylyl-sulfate kinase
EC 2.7.1.26	 riboflavin kinase
EC 2.7.1.27	 erythritol kinase
EC 2.7.1.28	 triokinase
EC 2.7.1.29	 glycerone kinase
EC 2.7.1.30	 glycerol kinase
EC 2.7.1.31	 glycerate kinase
EC 2.7.1.32	 choline kinase
EC 2.7.1.33	 pantothenate kinase
EC 2.7.1.34	 pantetheine kinase
EC 2.7.1.35	 pyridoxal kinase
EC 2.7.1.36	 mevalonate kinase
EC 2.7.1.37	 now divided into EC 2.7.11.1, EC 2.7.11.8, EC 2.7.11.9, EC 2.7.11.10, EC 2.7.11.11, EC 2.7.11.12, EC 2.7.11.13, EC 2.7.11.21, EC 2.7.11.22, EC 2.7.11.24, EC 2.7.11.25, EC 2.7.11.30 and EC 2.7.12.1
EC 2.7.1.38	 now EC 2.7.11.19
EC 2.7.1.39	 homoserine kinase
EC 2.7.1.40	 pyruvate kinase
EC 2.7.1.41	 glucose-1-phosphate phosphodismutase
EC 2.7.1.42	 riboflavin phosphotransferase
EC 2.7.1.43	 glucuronokinase
EC 2.7.1.44	 galacturonokinase
EC 2.7.1.45	 2-dehydro-3-deoxygluconokinase
EC 2.7.1.46	 L-arabinokinase
EC 2.7.1.47	 D-ribulokinase
EC 2.7.1.48	 uridine kinase
EC 2.7.1.49	 hydroxymethylpyrimidine kinase
EC 2.7.1.50	 hydroxyethylthiazole kinase
EC 2.7.1.51	 L-fuculokinase
EC 2.7.1.52	 fucokinase
EC 2.7.1.53	 L-xylulokinase
EC 2.7.1.54	 D-arabinokinase
EC 2.7.1.55	 allose kinase
EC 2.7.1.56	 1-phosphofructokinase
EC 2.7.1.57	 deleted
EC 2.7.1.58	 2-dehydro-3-deoxygalactonokinase
EC 2.7.1.59	 N-acetylglucosamine kinase
EC 2.7.1.60	 N-acylmannosamine kinase
EC 2.7.1.61	 acyl-phosphate—hexose phosphotransferase
EC 2.7.1.62	 Phosphoramidate-hexose phosphotransferase
EC 2.7.1.63	 polyphosphate-glucose phosphotransferase
EC 2.7.1.64	 inositol 3-kinase
EC 2.7.1.65	 scyllo-inosamine 4-kinase
EC 2.7.1.66	 undecaprenol kinase
EC 2.7.1.67	 1-phosphatidylinositol 4-kinase
EC 2.7.1.68	 1-phosphatidylinositol-4-phosphate 5-kinase
EC 2.7.1.69	 protein-Npi-phosphohistidine-sugar phosphotransferase
EC 2.7.1.70	 identical to EC 2.7.1.37.
EC 2.7.1.71	 shikimate kinase
EC 2.7.1.72	 streptomycin 6-kinase
EC 2.7.1.73	 inosine kinase
EC 2.7.1.74	 deoxycytidine kinase
EC 2.7.1.75	 now EC 2.7.1.21
EC 2.7.1.76	 deoxyadenosine kinase
EC 2.7.1.77	 nucleoside phosphotransferase
EC 2.7.1.78	 polynucleotide 5'-hydroxyl-kinase
EC 2.7.1.79	 diphosphate—glycerol phosphotransferase
EC 2.7.1.80	 diphosphate—serine phosphotransferase
EC 2.7.1.81	 hydroxylysine kinase
EC 2.7.1.82	 ethanolamine kinase
EC 2.7.1.83	 pseudouridine kinase
EC 2.7.1.84	 alkylglycerone kinase
EC 2.7.1.85	 b-glucoside kinase
EC 2.7.1.86	 NADH kinase
EC 2.7.1.87	 streptomycin 3"-kinase
EC 2.7.1.88	 dihydrostreptomycin-6-phosphate 3'a-kinase
EC 2.7.1.89	 thiamine kinase
EC 2.7.1.90	 diphosphate—fructose-6-phosphate 1-phosphotransferase
EC 2.7.1.91	 sphinganine kinase
EC 2.7.1.92	 5-dehydro-2-deoxygluconokinase
EC 2.7.1.93	 alkylglycerol kinase
EC 2.7.1.94	 acylglycerol kinase
EC 2.7.1.95	 kanamycin kinase
EC 2.7.1.96	 deleted, included in EC 2.7.1.86
EC 2.7.1.97	 deleted, identical to EC 2.7.1.125
EC 2.7.1.98	 deleted
EC 2.7.1.99	 now EC 2.7.11.2
EC 2.7.1.100	 S-methyl-5-thioribose kinase
EC 2.7.1.101	 tagatose kinase
EC 2.7.1.102	 hamamelose kinase
EC 2.7.1.103	 viomycin kinase
EC 2.7.1.104	 now EC 2.7.99.1
EC 2.7.1.105	 6-phosphofructo-2-kinase
EC 2.7.1.106	 glucose-1,6-bisphosphate synthase
EC 2.7.1.107	 diacylglycerol kinase
EC 2.7.1.108	 dolichol kinase
EC 2.7.1.109	 now EC 2.7.11.31
EC 2.7.1.110	 now EC 2.7.11.3
EC 2.7.1.111	 now EC 2.7.1.128
EC 2.7.1.112	 now EC 2.7.10.1 and EC 2.7.10.2
EC 2.7.1.113	 deoxyguanosine kinase
EC 2.7.1.114	 AMP—thymidine kinase
EC 2.7.1.115	 now EC 2.7.11.4
EC 2.7.1.116	 now EC 2.7.11.5
EC 2.7.1.117	 now EC 2.7.11.18
EC 2.7.1.118	 ADP—thymidine kinase
EC 2.7.1.119	 hygromycin-B kinase
EC 2.7.1.120	 now part of EC 2.7.11.17
EC 2.7.1.121	 Phosphoenolpyruvate-glycerone phosphotransferase
EC 2.7.1.122	 xylitol kinase
EC 2.7.1.123	 now part of EC 2.7.11.17
EC 2.7.1.124	 now EC 2.7.11.6
EC 2.7.1.125	 now EC 2.7.11.14
EC 2.7.1.126	 now EC 2.7.11.15
EC 2.7.1.127	 inositol-trisphosphate 3-kinase
EC 2.7.1.128	 now EC 2.7.11.27
EC 2.7.1.129	 now EC 2.7.11.7
EC 2.7.1.130	 tetraacyldisaccharide 4'-kinase
EC 2.7.1.131	 now EC 2.7.11.29
EC 2.7.1.132	 now EC 2.7.11.28
EC 2.7.1.133	 now with EC 2.7.1.134
EC 2.7.1.134	 inositol-tetrakisphosphate 1-kinase
EC 2.7.1.135	 now EC 2.7.11.26
EC 2.7.1.136	 macrolide 2'-kinase
EC 2.7.1.137	 phosphatidylinositol 3-kinase
EC 2.7.1.138	 ceramide kinase
EC 2.7.1.139	 now with EC 2.7.1.134
EC 2.7.1.140	 inositol-tetrakisphosphate 5-kinase
EC 2.7.1.141	 now EC 2.7.11.23
EC 2.7.1.142	 glycerol—3-phosphate-glucose phosphotransferase
EC 2.7.1.143	 diphosphate-purine nucleoside kinase
EC 2.7.1.144	 tagatose-6-phosphate kinase
EC 2.7.1.145	 deoxynucleoside kinase
EC 2.7.1.146	 ADP-dependent phosphofructokinase
EC 2.7.1.147	 ADP-dependent glucokinase
EC 2.7.1.148	 4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase
EC 2.7.1.149	 1-phosphatidylinositol-5-phosphate 4-kinase
EC 2.7.1.150	 1-phosphatidylinositol-3-phosphate 5-kinase
EC 2.7.1.151	 inositol-polyphosphate multikinase
EC 2.7.1.152	 now EC 2.7.4.21
EC 2.7.1.153	 phosphatidylinositol-4,5-bisphosphate 3-kinase
EC 2.7.1.154	 phosphatidylinositol-4-phosphate 3-kinase
EC 2.7.1.155	 diphosphoinositol-pentakisphosphate kinase
EC 2.7.1.156	 adenosylcobinamide kinase
EC 2.7.1.157	 N-acetylgalactosamine kinase
EC 2.7.1.158	 inositol-pentakisphosphate 2-kinase
EC 2.7.1.159	 inositol-1,3,4-trisphosphate 5/6-kinase
